id	code	name	type	descp	record_time
321	600860	京城	1		2015-11-15 19:57:33
322	600859	王府井	1		2015-11-15 19:57:33
323	600858	银座股份	1		2015-11-15 19:57:33
324	600857	工大首创	1		2015-11-15 19:57:33
325	600856	长百集团	1		2015-11-15 19:57:33
326	600855	航天长峰	1		2015-11-15 19:57:33
327	600854	春兰股份	1		2015-11-15 19:57:33
328	600853	龙建股份	1		2015-11-15 19:57:33
329	600851	海欣股份	1		2015-11-15 19:57:33
330	600850	华东电脑	1		2015-11-15 19:57:33
331	600848	自仪股份	1		2015-11-15 19:57:33
332	600847	万里股份	1		2015-11-15 19:57:33
333	600846	同济科技	1		2015-11-15 19:57:33
334	600845	宝信软件	1		2015-11-15 19:57:33
335	600844	丹化科技	1		2015-11-15 19:57:33
336	600843	上工申贝	1		2015-11-15 19:57:33
337	600841	上柴股份	1		2015-11-15 19:57:33
338	600839	四川长虹	1		2015-11-15 19:57:33
339	600838	上海九百	1		2015-11-15 19:57:33
340	600837	海通证券	1		2015-11-15 19:57:33
341	600836	界龙实业	1		2015-11-15 19:57:33
342	600835	上海机电	1		2015-11-15 19:57:33
343	600834	申通地铁	1		2015-11-15 19:57:33
344	600833	第一医药	1		2015-11-15 19:57:33
346	600831	广电网络	1		2015-11-15 19:57:33
347	600830	香溢融通	1		2015-11-15 19:57:33
348	600829	三精制药	1		2015-11-15 19:57:33
349	600828	成商集团	1		2015-11-15 19:57:33
350	600827	百联股份	1		2015-11-15 19:57:33
351	600826	兰生股份	1		2015-11-15 19:57:33
352	600825	新华传媒	1		2015-11-15 19:57:33
353	600824	益民集团	1		2015-11-15 19:57:33
354	600823	世茂股份	1		2015-11-15 19:57:33
355	600822	上海物贸	1		2015-11-15 19:57:33
356	600821	津劝业	1		2015-11-15 19:57:33
357	600820	隧道股份	1		2015-11-15 19:57:33
358	600819	耀皮玻璃	1		2015-11-15 19:57:33
359	600818	中路股份	1		2015-11-15 19:57:33
360	600817	ST宏盛	1		2015-11-15 19:57:33
361	600816	安信信托	1		2015-11-15 19:57:33
362	600815	厦工股份	1		2015-11-15 19:57:33
363	600814	杭州解百	1		2015-11-15 19:57:33
364	600812	华北制药	1		2015-11-15 19:57:33
365	600811	东方集团	1		2015-11-15 19:57:33
366	600810	神马股份	1		2015-11-15 19:57:33
367	600809	山西汾酒	1		2015-11-15 19:57:33
368	600808	马钢股份	1		2015-11-15 19:57:33
369	600807	天业股份	1		2015-11-15 19:57:33
370	600806	昆明机床	1		2015-11-15 19:57:33
371	600805	悦达投资	1		2015-11-15 19:57:33
372	600804	鹏博士	1		2015-11-15 19:57:33
373	600803	威远生化	1		2015-11-15 19:57:33
374	600802	福建水泥	1		2015-11-15 19:57:33
375	600801	华新水泥	1		2015-11-15 19:57:33
376	600800	天津磁卡	1		2015-11-15 19:57:33
377	600798	宁波海运	1		2015-11-15 19:57:33
378	600797	浙大网新	1		2015-11-15 19:57:33
379	600796	钱江生化	1		2015-11-15 19:57:33
380	600795	国电电力	1		2015-11-15 19:57:33
381	600794	保税科技	1		2015-11-15 19:57:33
382	600793	ST宜纸	1		2015-11-15 19:57:33
383	600792	云煤能源	1		2015-11-15 19:57:33
384	600791	京能置业	1		2015-11-15 19:57:33
385	600790	轻纺城	1		2015-11-15 19:57:33
386	600789	鲁抗医药	1		2015-11-15 19:57:33
387	600787	中储股份	1		2015-11-15 19:57:33
388	600785	新华百货	1		2015-11-15 19:57:33
389	600784	鲁银投资	1		2015-11-15 19:57:33
390	600783	鲁信创投	1		2015-11-15 19:57:33
391	600782	新钢股份	1		2015-11-15 19:57:33
392	600781	辅仁药业	1		2015-11-15 19:57:33
393	600780	通宝能源	1		2015-11-15 19:57:33
394	600779	水井坊	1		2015-11-15 19:57:33
395	600778	友好集团	1		2015-11-15 19:57:33
396	600777	新潮实业	1		2015-11-15 19:57:33
397	600776	东方通信	1		2015-11-15 19:57:33
398	600775	南京熊猫	1		2015-11-15 19:57:33
399	600774	汉商集团	1		2015-11-15 19:57:33
